City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Ponta Do Sol,PT,32.6667,-17.1,82.0,69,0,2.15,clear sky
172,Ucluelet,CA,48.9329,-125.5528,62.91,92,0,1.01,clear sky
173,New Amsterdam,GY,6.25,-57.5167,87.04,57,33,7.52,scattered clouds
174,Buraydah,SA,26.326,43.975,91.85,27,90,8.81,overcast clouds
175,Mana,GF,5.6592,-53.7767,83.16,75,13,8.57,few clouds
176,New Norfolk,AU,-42.7826,147.0587,49.5,77,96,1.01,overcast clouds
177,Ribeira Grande,PT,38.5167,-28.7,77.4,73,20,5.75,few clouds
178,Kavaratti,IN,10.5669,72.642,81.09,81,90,22.32,overcast clouds
179,San Joaquin,US,37.9333,-121.3011,80.55,60,0,6.91,clear sky
180,Kotel,BG,42.8833,26.45,78.35,55,57,4.56,broken clouds
181,Amahai,ID,-3.3333,128.9167,76.59,90,97,2.93,overcast clouds
182,Khatanga,RU,71.9667,102.5,44.31,75,99,8.3,overcast clouds
183,Tasiilaq,GL,65.6145,-37.6368,53.76,57,77,5.82,broken clouds
184,Kapiri Mposhi,ZM,-13.9652,28.6809,62.37,33,0,5.32,clear sky
185,Kolpashevo,RU,58.3131,82.9089,59.22,83,100,10.16,light rain
186,Nome,US,64.5011,-165.4064,53.67,72,0,0.0,clear sky
187,Nouadhibou,MR,20.931,-17.0347,82.38,65,25,10.36,scattered clouds
188,Atambua,ID,-9.1061,124.8925,70.02,89,80,4.88,broken clouds
189,Qasigiannguit,GL,68.8193,-51.1922,53.85,84,57,4.09,broken clouds
190,Astana,KZ,51.1801,71.446,69.75,60,40,6.71,scattered clouds
191,Oistins,BB,13.0667,-59.5333,86.5,74,20,25.32,few clouds
192,Kamenka,RU,51.3223,42.7678,69.96,56,98,11.36,overcast clouds
193,Mahebourg,MU,-20.4081,57.7,71.89,73,75,14.97,broken clouds
194,La Paz,BO,-16.5,-68.15,64.38,12,0,8.05,clear sky
195,Sibolga,ID,1.7427,98.7792,76.96,84,94,2.77,overcast clouds
196,Merauke,ID,-8.4667,140.3333,75.96,87,99,13.06,overcast clouds
197,Kutum,SD,14.2,24.6667,70.75,77,64,14.76,moderate rain
198,Kondinskoye,RU,59.6481,67.41,60.22,58,100,8.37,overcast clouds
199,Palora,EC,-1.7,-77.9333,80.71,50,49,4.63,scattered clouds
200,Macia,MZ,-25.0269,33.0989,67.62,83,4,14.12,clear sky
201,Constitucion,CL,-35.3333,-72.4167,55.72,72,1,3.89,clear sky
202,Kodiak,US,57.79,-152.4072,54.91,94,100,0.0,overcast clouds
203,Kropotkin,RU,45.4375,40.5756,83.43,31,3,9.64,clear sky
204,Vondrozo,MG,-22.8167,47.2833,59.52,98,19,0.65,few clouds
205,Malumfashi,NG,11.7853,7.6218,75.61,74,58,7.25,broken clouds
206,Gold Coast,AU,-28.0,153.4333,59.0,99,100,10.02,overcast clouds
207,Saint-Joseph,RE,-21.3667,55.6167,66.58,79,25,12.39,light rain
208,East London,ZA,-33.0153,27.9116,52.74,76,0,6.91,clear sky
209,Kholodnyy,RU,62.7167,147.95,51.35,88,90,6.4,overcast clouds
210,Osakarovka,KZ,50.565,72.5692,60.53,78,100,4.81,overcast clouds
211,Madang,PG,-5.2246,145.7966,76.44,92,96,3.09,overcast clouds
212,Shelburne,CA,44.0787,-80.2041,81.75,43,78,10.6,broken clouds
213,Vostok,RU,46.4856,135.8833,63.23,96,99,3.76,overcast clouds
214,Oranjemund,NA,-28.55,16.4333,53.69,80,1,26.49,clear sky
215,Necochea,AR,-38.5473,-58.7368,60.78,57,100,5.37,overcast clouds
216,Altamira,BR,-3.2033,-52.2064,88.7,50,73,3.29,broken clouds
217,Richards Bay,ZA,-28.783,32.0377,62.89,74,100,11.92,light rain
218,Norman Wells,CA,65.282,-126.8329,64.44,52,20,14.97,few clouds
219,Flinders,AU,-34.5833,150.8552,57.38,69,90,8.99,light rain
220,Port Blair,IN,11.6667,92.75,78.84,94,75,4.61,broken clouds
221,Dahuk,IQ,36.8695,42.994,93.36,13,0,2.1,clear sky
222,Kadhan,PK,24.481,68.9859,82.49,82,41,18.32,scattered clouds
223,Owo,NG,7.1962,5.5868,71.06,96,98,7.81,light rain
224,Wakkanai,JP,45.4094,141.6739,61.9,91,88,18.21,overcast clouds
225,Saldanha,ZA,-33.0117,17.9442,50.05,69,1,19.86,clear sky
226,Korla,CN,41.7597,86.1469,80.8,38,84,18.54,broken clouds
227,Newcastle,AU,-32.9272,151.7765,57.81,78,100,8.05,overcast clouds
228,Noumea,NC,-22.2763,166.4572,70.0,99,100,16.93,overcast clouds
229,Vozhega,RU,60.4725,40.2213,57.58,76,76,4.0,broken clouds
230,Ahuimanu,US,21.4447,-157.8378,80.31,71,40,12.66,scattered clouds
231,Auki,SB,-8.7676,160.7034,76.28,89,9,4.47,clear sky
232,Ulladulla,AU,-35.35,150.4667,52.48,82,100,8.84,overcast clouds
233,Tuatapere,NZ,-46.1333,167.6833,36.05,89,20,6.51,few clouds
234,Pangai,TO,-19.8,-174.35,77.11,94,20,5.75,few clouds
235,Mount Isa,AU,-20.7333,139.5,49.77,62,16,0.0,few clouds
236,Yuzhno-Kurilsk,RU,44.0306,145.8556,58.57,95,99,12.03,overcast clouds
237,Chyhyryn,UA,49.0838,32.6555,74.62,51,7,10.67,clear sky
238,Nanortalik,GL,60.1432,-45.2371,49.21,83,88,9.46,overcast clouds
239,Ulaanbaatar,MN,47.9077,106.8832,55.53,82,0,4.47,clear sky
240,Saint-Philippe,RE,-21.3585,55.7679,67.59,82,48,16.11,light rain
241,Luderitz,NA,-26.6481,15.1594,58.06,57,0,24.4,clear sky
242,Victoria,HK,22.2855,114.1577,87.85,78,1,5.01,clear sky
243,Mezen,RU,65.8522,44.24,61.32,96,91,1.48,moderate rain
244,Yar-Sale,RU,66.8333,70.8333,48.67,77,62,1.48,broken clouds
245,Carnarvon,AU,-24.8667,113.6333,69.24,46,100,9.44,overcast clouds
246,Westport,US,41.1415,-73.3579,88.09,58,0,12.66,clear sky
247,Huilong,CN,31.8111,121.655,82.92,94,0,7.16,clear sky
248,Maniago,IT,46.1706,12.7078,84.96,66,33,3.71,scattered clouds
249,Sorland,NO,67.667,12.6934,57.06,87,82,13.04,broken clouds
250,Fershampenuaz,RU,53.5202,59.8117,62.35,73,12,2.44,few clouds
251,Iraucuba,BR,-3.7461,-39.7833,87.31,50,39,8.88,scattered clouds
252,Krasnoshchekovo,RU,51.6708,82.7289,64.8,68,95,3.71,overcast clouds
253,Narsaq,GL,60.9167,-46.05,55.62,68,94,3.89,overcast clouds
254,Obigarm,TJ,38.7173,69.7088,67.78,52,78,5.39,broken clouds
255,Rundu,NA,-17.9333,19.7667,67.19,20,35,3.2,scattered clouds
256,Asau,RO,46.4333,26.4,64.87,89,99,2.51,overcast clouds
257,Hambantota,LK,6.1241,81.1185,78.76,85,100,16.2,light rain
258,Weihe,CN,32.9952,105.3247,66.79,98,85,2.1,overcast clouds
259,Morondava,MG,-20.2833,44.2833,74.21,80,3,14.2,clear sky
260,Menongue,AO,-14.6585,17.691,64.18,29,17,2.59,few clouds
261,Safford,US,32.834,-109.7076,87.12,69,0,5.75,clear sky
262,Betamcherla,IN,15.4667,78.1667,85.64,63,100,5.14,overcast clouds
263,Cabo San Lucas,MX,22.8909,-109.9124,93.61,60,0,3.44,clear sky
264,Macamic,CA,48.7502,-78.9996,78.15,52,38,9.98,scattered clouds
265,Nemuro,JP,43.3236,145.575,60.67,91,83,18.05,broken clouds
