City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
416,Muros,ES,87.1,clear sky,42.7762,-9.0603,Apartment Av. Castelao
418,Gizo,SB,81.28,clear sky,-8.103,156.8419,Imagination Island
419,Taklisah,TN,86.74,clear sky,36.7833,10.6333,Takelsa vineyard
420,Umm Lajj,SA,89.51,overcast clouds,25.0213,37.2685,Moon light Furnished Units
423,Libertador General San Martin,AR,77.97,scattered clouds,-23.8064,-64.7876,Posada del Sol
426,Gat,IL,81.81,few clouds,31.61,34.7642,OlusHome
436,Yaval,IN,79.54,overcast clouds,21.1667,75.7,Swapnil Chaudhari Home
438,Japura,ID,75.78,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
440,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
443,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
444,Tecoanapa,MX,86.83,overcast clouds,16.5167,-98.75,Hotel Manglares
446,Lompoc,US,84.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
449,Birnin Kebbi,NG,80.04,overcast clouds,12.4539,4.1975,Saffar Guest Inn Ltd
450,Corinto,GR,87.89,scattered clouds,37.9407,22.9573,Ephira Hotel
454,Yarada,IN,86.32,thunderstorm,17.65,83.2667,Yarada Jungle Beach Resorts
456,Macheng,CN,77.04,few clouds,31.1783,115.0319,Shell Macheng City Macheng Bus Station Hotel
459,Kantang,TH,78.17,very heavy rain,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
461,Erzin,TR,76.57,clear sky,36.9559,36.2,Artemis Otel
465,La Macarena,CO,82.47,broken clouds,2.1837,-73.7849,Casa Hotel Real
469,Lorengau,PG,81.18,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
471,Isla Mujeres,MX,89.65,few clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
476,Malartic,CA,79.02,clear sky,48.1335,-78.1328,Camping Regional De Malartic
478,Shaikhpura,IN,85.78,moderate rain,25.15,85.85,Hotel Ashoka
479,Marang,MY,78.71,overcast clouds,5.2056,103.2059,DBarakah Homestay
480,Fort Wellington,GY,84.18,scattered clouds,6.4,-57.6,TE'AMO Entertainment Park
483,Lumut,MY,80.62,moderate rain,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
484,Muscat,OM,89.62,broken clouds,23.6139,58.5922,Mutrah Hotel
486,Bernalillo,US,86.11,few clouds,35.05,-106.6673,DoubleTree by Hilton Hotel Albuquerque
489,Lenti,HU,80.94,scattered clouds,46.624,16.5386,Pearl of Gosztola Wellness Hotel
498,Nantucket,US,82.54,clear sky,41.2835,-70.0995,Jared Coffin House
504,Lanzhou,CN,75.38,broken clouds,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
505,Jucurutu,BR,89.56,overcast clouds,-6.0339,-37.0203,Pousada Miike
506,Capinota,BO,81.81,clear sky,-17.7167,-66.2333,Urbanización Villa Real
508,Atchison,US,83.91,scattered clouds,39.563,-95.1216,"Quality Inn, Atchison"
510,Sao Filipe,CV,76.39,overcast clouds,14.8961,-24.4956,Hotel Xaguate
515,Gander,CA,75.33,broken clouds,48.9682,-54.5906,Quality Hotel & Suites
516,Portland,US,88.77,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
518,Tezu,IN,75.22,overcast clouds,27.9167,96.1667,Circuit House
521,Sarakhs,IR,89.74,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
522,Saint-Francois,FR,87.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
525,Jardim,BR,89.01,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
529,Nokha,IN,83.21,overcast clouds,27.6,73.4167,Gurukarpa Hotel
530,Ranong,TH,79.77,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
534,Diplo,PK,82.9,scattered clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
541,Pierre,US,83.32,clear sky,44.3683,-100.351,Ramkota Hotel
542,Morehead,US,76.98,overcast clouds,37.2711,-87.1764,CCI Express Inn
544,Lucea,JM,89.85,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
545,Jevargi,IN,82.27,overcast clouds,17.0167,76.7667,Khamadhenu Hotel
551,Fier,AL,75.96,clear sky,40.7239,19.5561,Hotel Fieri
553,Trairi,BR,83.79,scattered clouds,-3.2778,-39.2689,janelas do mar
555,Laives,IT,81.97,scattered clouds,46.4228,11.3348,Hotel Steinmannwald
562,Columbus,US,80.78,scattered clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
563,Cikupa,ID,80.91,clear sky,-6.2364,106.5083,Amaris Hotel Citra Raya - Tangerang
564,Saint-Georges,GD,83.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
565,Namatanai,PG,78.17,light rain,-3.6667,152.4333,Seagulls Inn Namatani
566,Bombay,IN,84.18,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
567,Margate,GB,76.87,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
568,Gonen,TR,80.56,clear sky,40.1049,27.654,Gönen Palmiye Butik Pansiyon
569,Narimanov,RU,75.11,broken clouds,46.6927,47.8498,Solnechnyi
570,Khash,IR,78.82,light rain,28.2211,61.2158,خوابگاه آبجی محدثه
572,Kaohsiung,TW,83.03,broken clouds,22.6163,120.3133,御宿商旅-中山館
575,Pirenopolis,BR,84.69,clear sky,-15.8525,-48.9592,Mandala dos Pirineus Eco Village
578,Yining,CN,76.44,clear sky,29.0361,114.5636,Xiushui Hotel
583,Bonthe,SL,78.19,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
585,Carupano,VE,84.29,overcast clouds,10.6678,-63.2585,Hotel La dorada
586,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
587,Odlabari,IN,76.53,overcast clouds,26.8333,88.6167,west damdim resort
588,Dahanu,IN,81.88,scattered clouds,19.9667,72.7333,Pearline Beach Villas
589,Algemesi,ES,87.76,few clouds,39.1833,-0.4333,Hotel Lluna Alzira
591,Tautira,PF,76.71,overcast clouds,-17.7333,-149.15,Pension Oaoa
594,Altotting,DE,75.69,broken clouds,48.2333,12.6833,Altstadthotel Schex
